customer_id,event,journey_date,country,device_type,customer_segment,acquisition_channel,churn_risk_category,revenue,d1_retained,d7_retained,funnel_stage,funnel_stage_order,conversion_flag,retention_gap,revenue_band
5696,page_view,2024-01-22,UK,Mobile,Medium,Organic,High,0,1,1,Awareness,1,0,0,No Revenue
5696,product_view,2024-01-21,UK,Mobile,Medium,Organic,High,0,1,1,Consideration,2,0,0,No Revenue
5696,add_to_cart,2024-01-06,UK,Mobile,Medium,Organic,High,0,1,1,Intent,3,0,0,No Revenue
5696,checkout_start,2024-01-01,UK,Mobile,Medium,Organic,High,0,1,1,Checkout,4,0,0,No Revenue
5696,checkout_complete,2024-02-10,UK,Mobile,Medium,Organic,High,44,1,1,Purchase,5,1,0,Medium
5667,page_view,2024-02-26,US,Mobile,Medium,Referral,Medium,0,1,0,Awareness,1,0,1,No Revenue
5667,product_view,2024-01-22,US,Mobile,Medium,Referral,Medium,0,1,0,Consideration,2,0,1,No Revenue
5667,add_to_cart,2024-02-16,US,Mobile,Medium,Referral,Medium,0,1,0,Intent,3,0,1,No Revenue
5667,checkout_start,2024-02-25,US,Mobile,Medium,Referral,Medium,0,1,0,Checkout,4,0,1,No Revenue
5667,checkout_complete,2024-02-12,US,Mobile,Medium,Referral,Medium,133,1,0,Purchase,5,1,1,High
5063,page_view,2024-02-16,UK,Desktop,Low,Organic,Low,0,1,0,Awareness,1,0,1,No Revenue
5063,product_view,2024-02-25,UK,Desktop,Low,Organic,Low,0,1,0,Consideration,2,0,1,No Revenue
5063,add_to_cart,2024-01-22,UK,Desktop,Low,Organic,Low,0,1,0,Intent,3,0,1,No Revenue
5063,checkout_start,2024-01-14,UK,Desktop,Low,Organic,Low,0,1,0,Checkout,4,0,1,No Revenue
5063,checkout_complete,2024-01-23,UK,Desktop,Low,Organic,Low,47,1,0,Purchase,5,1,1,Medium
5533,page_view,2024-02-15,UK,Mobile,Medium,Paid,Low,0,1,0,Awareness,1,0,1,No Revenue
5533,product_view,2024-02-12,UK,Mobile,Medium,Paid,Low,0,1,0,Consideration,2,0,1,No Revenue
5533,add_to_cart,2024-02-16,UK,Mobile,Medium,Paid,Low,0,1,0,Intent,3,0,1,No Revenue
5533,checkout_start,2024-02-29,UK,Mobile,Medium,Paid,Low,0,1,0,Checkout,4,0,1,No Revenue
5533,checkout_complete,2024-01-18,UK,Mobile,Medium,Paid,Low,148,1,0,Purchase,5,1,1,High
5066,page_view,2024-01-17,CA,Mobile,Medium,Paid,Medium,0,1,1,Awareness,1,0,0,No Revenue
5066,product_view,2024-02-08,CA,Mobile,Medium,Paid,Medium,0,1,1,Consideration,2,0,0,No Revenue
5066,add_to_cart,2024-01-22,CA,Mobile,Medium,Paid,Medium,0,1,1,Intent,3,0,0,No Revenue
5066,checkout_start,2024-01-26,CA,Mobile,Medium,Paid,Medium,0,1,1,Checkout,4,0,0,No Revenue
5066,checkout_complete,2024-01-25,CA,Mobile,Medium,Paid,Medium,83,1,1,Purchase,5,1,0,High
5621,page_view,2024-01-22,AU,Mobile,Low,Paid,Medium,0,1,1,Awareness,1,0,0,No Revenue
5621,product_view,2024-02-03,AU,Mobile,Low,Paid,Medium,0,1,1,Consideration,2,0,0,No Revenue
5621,add_to_cart,2024-02-16,AU,Mobile,Low,Paid,Medium,0,1,1,Intent,3,0,0,No Revenue
5621,checkout_start,2024-01-08,AU,Mobile,Low,Paid,Medium,0,1,1,Checkout,4,0,0,No Revenue
5621,checkout_complete,2024-02-18,AU,Mobile,Low,Paid,Medium,59,1,1,Purchase,5,1,0,High
